test,ending_cash,return_pct,trades,win_rate_pct,avg_trade_pct,max_drawdown_pct,target_exits,stop_exits,time_exits
mkt_above50,213.62681461802248,113.62681461802246,200,64.0,1.184597270888397,-9.173450290685325,48,16,135
quality_combo_loose,206.78600825277044,106.78600825277043,177,62.14689265536724,1.274035847277988,-12.109678505389866,44,10,122
near_60d_high_5pct,186.39981014394428,86.3998101439443,202,60.396039603960396,0.9653182313122233,-8.816636923265797,44,16,141
mkt_above20,186.00954405523902,86.00954405523902,193,62.17616580310881,1.0124340631413817,-10.774836608820237,45,20,127
near_60d_high_2pct,178.0016710082562,78.00167100825621,200,60.0,0.9067348317290428,-11.316453844010743,45,17,137
baseline,173.9859164519175,73.9859164519175,248,58.87096774193549,0.7129158206016504,-22.520894017386205,54,28,165
mkt_positive20d,159.73655938176935,59.73655938176936,188,57.97872340425532,0.785993711811339,-11.414241044049788,41,15,132
quality_combo,157.24627078670542,57.24627078670543,165,63.030303030303024,0.8657413278808122,-14.187344482643027,26,11,127
atr_1p5_to_5pct,140.17985001689834,40.17985001689834,247,57.48987854251012,0.4512818082403941,-26.37174783134013,48,33,165
volratio_1p2_to_3,136.58626079438127,36.586260794381275,244,57.377049180327866,0.4172551874922719,-17.372214151616273,43,32,168
not_overextended_ret5_lt15,131.98763864492992,31.987638644929905,199,55.778894472361806,0.45344791290524916,-20.797234359535587,34,23,140
